City,State,Type,Population [2011],Popuation [2001],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases
Seohara,Uttar Pradesh,UA,"47,575",,867,26,33,MEDIUM,79,116,0.251640073,41248,29,3104060,2252
Umarkhed,Maharashtra,M.Cl,"47,458",,876,28,34,LOW,90,121,0.828740214,41573,13,4408916,2450
Madhupur,Jharkhand,M,"47,326",,906,26,36,HIGH,88,116,0.495275766,42877,10,167785,2353
Rairangpur,Odisha,M,"47,294",,949,24,31,HIGH,59,153,0.608765386,44882,12,66971,2276
Vikramasingapuram,Tamil Nadu,M,"47,241",,901,27,39,HIGH,92,129,0.612441576,42564,25,4684707,2430
Punalur,Kerala,M,"47,235",,979,28,40,HIGH,52,185,0.299304894,46243,20,977479,2739
Kendrapara,Odisha,M,"47,006",,947,26,33,LOW,70,143,0.628830237,44515,23,66971,2460
Sihor,Gujarat,M,"46,960",,845,27,26,MEDIUM,94,134,0.894614269,39681,13,284973,2279
Nellikuppam,Tamil Nadu,M,"46,678",,919,25,32,LOW,64,170,0.202944954,42897,12,4684707,2295
Samana,Punjab,M.Cl,"46,592",,869,26,27,MEDIUM,90,128,0.65256477,40488,20,242367,2257
Warora,Maharashtra,M.Cl.,"46,532",,893,,,,,134,0.700051375,41553,26,4408916,2230
Nilambur,Kerala,C.T,"46,366",,973,28,25,LOW,53,125,0.397136362,45114,22,977479,2722
Rasipuram,Tamil Nadu,M,"46,330",,921,28,31,HIGH,73,176,0.740966362,42670,15,4684707,2576
Ramnagar,Uttarakhand,M.B,"46,205",,839,24,5,LOW,89,193,0.578552924,38766,26,105882,2012
Jammalamadugu,Andhra Pradesh,NP,"46,069",,890,28,25,MEDIUM,100,175,0.611223515,41001,18,237854,2490
Nawanshahr,Punjab,M.Cl,"46,024",,899,26,35,HIGH,97,117,0.862007849,41376,26,242367,2335
Thoubal,Manipur,M.Cl,"45,947",,979,25,15,LOW,76,194,0.617680449,44982,21,3260,2445
Attili,Andhra Pradesh,M,"45,858",,906,23,28,HIGH,93,175,0.748041928,41547,10,237854,2082
Athni,Karnataka,T.M.C.,"45,858",,938,23,32,HIGH,52,170,0.17004477,43015,16,636502,2155
Cherthala,Kerala,M,"45,827",,960,30,32,MEDIUM,61,189,0.213464878,43994,30,977479,2877
Farooqnagar,Telangana,C.T.,"45,675",,922,27,38,HIGH,69,174,0.095522145,42112,22,126078,2487
Peddapuram,Andhra Pradesh,M,"45,520",,909,23,38,HIGH,88,177,0.08925847,41378,30,237854,2089
Chirkunda,Jharkhand,NP,"45,508",,909,23,40,MEDIUM,99,150,0.402740007,41367,30,167785,2089
Pachora,Maharashtra,M.Cl,"45,333",,876,29,35,LOW,70,115,0.724296425,39712,17,4408916,2538
Madhepura,Bihar,M,"45,031",,908,27,28,MEDIUM,62,157,0.961622366,40888,20,923737,2449
Tumsar,Maharashtra,M.Cl,"44,869",,873,25,30,MEDIUM,66,151,0.238068187,39171,20,4408916,2180
Phalodi,Rajasthan,UA,"44,868",,855,27,34,MEDIUM,99,110,0.295191999,38362,22,1475311,2306
Tiruttani,Tamil Nadu,M,"44,781",,917,27,37,LOW,81,129,0.55890329,41064,17,4684707,2474
Rampura Phul,Punjab,UA,"44,665",,881,25,29,HIGH,87,145,0.788265337,39350,26,242367,2200
Perinthalmanna,Kerala,M,"44,612",,971,30,30,LOW,60,175,0.533865433,43318,11,977479,2910
Sainthia,West Bengal,M,"44,601",,946,29,26,HIGH,83,178,0.21164818,42193,21,1489500,2741
Angul,Odisha,M,"44,390",,950,24,29,LOW,94,113,0.887143701,42171,27,66971,2278
Padrauna,Uttar Pradesh,M.B,"44,383",,875,27,32,MEDIUM,93,102,0.787345119,38835,15,3104060,2360
Dalli-Rajhara,Chhattisgarh,M,"44,363",,973,25,29,HIGH,74,140,0.824264781,43165,23,6394,2430
Punganur,Andhra Pradesh,N.P,"44,314",,882,29,30,MEDIUM,95,105,0.990019402,39085,10,237854,2555
Mattannur,Kerala,M,"44,313",,965,30,39,LOW,55,181,0.165307014,42762,24,977479,2892
Thakurdwara,Uttar Pradesh,N.P.P.,"44,255",,878,25,32,MEDIUM,79,163,0.211555983,38856,12,3104060,2193
Nandivaram-Guduvancheri,Tamil Nadu,T.P,"44,098",,906,28,32,HIGH,80,122,0.025790223,39953,30,4684707,2534
Mulbagal,Karnataka,T.M.C,"44,033",,954,25,30,LOW,77,149,0.961020889,42007,29,636502,2383
Manjlegaon,Maharashtra,M.Cl,"44,029",,873,26,37,MEDIUM,56,165,0.747074049,38437,28,4408916,2268
Wankaner,Gujarat,M,"43,881",,858,25,26,HIGH,75,168,0.204682613,37650,16,284973,2143
Sillod,Maharashtra,M.Cl,"43,867",,869,28,39,HIGH,50,118,0.213918405,38120,11,4408916,2431
Nidadavole,Andhra Pradesh,M,"43,809",,929,24,30,HIGH,65,195,0.796102745,40699,17,237854,2228
Surapura,Karnataka,T.M.C,"43,622",,953,24,30,MEDIUM,99,109,0.658381814,41572,28,636502,2285
Rajagangapur,Odisha,M,"43,594",,952,23,26,HIGH,61,170,0.950256678,41501,11,66971,2188
Sheikhpura,Bihar,M,"43,113",,919,27,35,LOW,59,139,0.008755665,39621,19,923737,2479
Parlakhemundi,Odisha,M,"43,097",,942,25,31,HIGH,73,128,0.75084128,40597,21,66971,2353
Kalimpong,West Bengal,M,"42,998",,959,26,27,LOW,91,199,0.65125961,41235,26,1489500,579
Siruguppa,Karnataka,T.P,"42,919",,921,23,35,MEDIUM,80,178,0.751123997,39528,20,636502,2116
Arvi,Maharashtra,M.Cl,"42,822",,885,27,35,LOW,57,105,0.967724344,37897,28,4408916,2387
Limbdi,Gujarat,M,"42,769",,865,26,39,HIGH,98,166,0.365208567,36995,10,284973,2247
Barpeta,Assam,M.B,"42,649",,896,29,8,HIGH,55,186,0.158530176,38214,17,24720,2596
Repalle,Andhra Pradesh,M,"42,539",,930,23,27,HIGH,54,157,0.507003555,39561,24,237854,2137
Mudhol,Karnataka,T.M.C,"42,461",,923,27,31,MEDIUM,71,172,0.026749057,39192,21,636502,2490
Shujalpur,Madhya Pradesh,M,"42,461",,921,28,35,MEDIUM,70,100,0.962508237,39107,26,421365,2576
Mandvi,Gujarat,M,"42,355",,856,24,31,MEDIUM,54,169,0.219438567,36256,11,284973,2052
Thangadh,Gujarat,M,"42,351",,860,28,40,MEDIUM,71,197,0.742232436,36422,28,284973,2406
Sironj,Madhya Pradesh,M,"42,179",,930,25,40,HIGH,87,154,0.785924604,39226,21,421365,2323
Nandura,Maharashtra,M.Cl,"42,167",,893,26,29,MEDIUM,99,142,0.756911798,37655,18,4408916,2320
Shoranur,Kerala,M,"42,029",,966,30,37,LOW,51,108,0.82166313,40600,29,977479,2895
Nathdwara,Rajasthan,M,"42,016",,854,28,28,MEDIUM,86,153,0.409254076,35882,10,1475311,2389
Periyakulam,Tamil Nadu,M,"42,012",,911,28,25,HIGH,91,160,0.944316298,38273,29,4684707,2548
Golaghat,Assam,M.B,"41,989",,882,28,9,LOW,69,186,0.446131049,37034,20,24720,2467
Kichha,Uttarakhand,N.P.P,"41,965",,853,26,5,MEDIUM,79,133,0.535216793,35796,10,105882,2216
Sultanganj,Bihar,N.A,"41,958",,901,27,25,MEDIUM,61,165,0.275660854,37804,26,923737,2430
Medak,Telangana,N.P,"41,945",,919,24,34,LOW,76,198,0.218067838,38547,11,126078,2204
Barauli,Bihar,N.P.P.,"41,877",,907,24,28,HIGH,66,163,0.038863212,37982,28,923737,2175
Narayanpet,Telangana,N.P,"41,752",,922,29,25,LOW,59,171,0.196164259,38495,26,126078,2671
Raxaul Bazar,Bihar,M,"41,610",,907,27,36,MEDIUM,91,131,0.628509937,37740,23,923737,2447
Rajauri,Jammu and Kashmir,N.A.C,"41,552",,890,23,11,LOW,71,126,0.999773715,36981,30,58568,2045
Pernampattu,Tamil Nadu,T.P,"41,499",,915,23,38,LOW,56,173,0.794460006,37972,26,4684707,2103
Nainital,Uttarakhand,N.P.P,"41,377",,850,29,12,LOW,61,120,0.749081758,35170,20,105882,3695
Ramachandrapuram,Andhra Pradesh,M,"41,370",,896,28,32,HIGH,62,149,0.852011362,37068,21,237854,2506
Vaijapur,Maharashtra,M.Cl,"41,296",,889,27,33,LOW,79,145,0.69584184,36712,14,4408916,2398
Nangal,Punjab,M.Cl,,,882,23,31,HIGH,,,,36314,21,242367,2027
Sidlaghatta,Karnataka,T.M.C,,,929,25,28,MEDIUM,,,,38180,30,636502,2320
Poonch,Jammu and Kashmir,M.B,,,911,24,12,HIGH,,,,37339,13,58568,2184
Pandhurna,Madhya Pradesh,M,,,929,24,25,MEDIUM,,,,38025,10,421365,2228
Wadgaon Road,Maharashtra,C.T.,,,893,29,38,LOW,,,,36509,10,4408916,2587
Talcher,Odisha,M,,,961,29,40,MEDIUM,90,179,0.282632083,39248,15,66971,2784
Varkala,Kerala,M,,,971,31,37,HIGH,89,140,0.529044518,39547,12,977479,3007
Pilani,Rajasthan,UA,,,861,24,40,MEDIUM,63,117,0.304175121,34948,13,1475311,2064
Nowgong,Madhya Pradesh,M,"40,580",,922,27,35,HIGH,56,164,0.289417829,37415,18,421365,2487
Naila Janjgir,Chhattisgarh,M,"40,561",,970,29,37,MEDIUM,61,130,0.920207179,39344,17,6394,2810
Mapusa,Goa,M.Cl,"40,487",,969,29,31,LOW,82,126,0.152645746,39232,10,541480,2808
Vellakoil,Tamil Nadu,M,"40,359",,912,26,29,HIGH,63,139,0.831647153,36807,29,4684707,2369
Merta City,Rajasthan,M,"40,252",,875,29,37,LOW,66,116,0.850059769,35221,28,1475311,2535
Sivaganga,Tamil Nadu,UA,"40,220",,901,28,28,MEDIUM,87,176,0.407371398,36238,20,4684707,2520
Sailu,Maharashtra,M.Cl,"39,851",,883,23,26,HIGH,88,164,0.565375183,35188,11,4408916,2029
Vyara,Gujarat,M,"39,789",,863,24,36,LOW,88,108,0.621894044,34338,12,284973,2069
Kovvur,Andhra Pradesh,M,"39,667",,878,26,38,LOW,90,188,0.930756202,34828,16,237854,2281
Vadalur,Tamil Nadu,T.P.,"39,514",,913,26,31,LOW,69,168,0.452104746,36076,29,4684707,2372
Nawabganj,Uttar Pradesh,N.P.P,"39,241",,862,27,28,LOW,72,157,0.993439778,33826,21,3104060,2325
Padra,Gujarat,UA,"39,205",,864,23,37,LOW,54,158,0.569810747,33873,14,284973,1985
Siana,Uttar Pradesh,M.B,"38,999",,866,25,25,MEDIUM,59,102,0.239175326,33773,29,3104060,2163
Shahpur,Karnataka,T.M.C,"38,907",,929,25,40,HIGH,61,192,0.519548065,36145,24,636502,2320
Sojat,Rajasthan,M,"38,883",,848,27,38,LOW,82,156,0.040447348,32973,26,1475311,2287
Noorpur,Uttar Pradesh,N.P.P,"38,806",,886,26,35,LOW,50,102,0.403028536,34382,14,3104060,2301
Paravoor,Kerala,M,"38,652",,963,30,29,MEDIUM,89,199,0.348456524,37222,11,977479,2886
Ramnagar,Bihar,N.A,"38,554",,905,29,29,LOW,66,145,0.701767644,34891,12,923737,2622
Murtijapur,Maharashtra,M.Cl,"38,554",,869,28,27,HIGH,100,158,0.735418685,33503,24,4408916,2431
Sundargarh,Odisha,M,"38,421",,940,24,32,HIGH,89,167,0.276284886,36116,11,66971,2254
Taki,West Bengal,M,"38,263",,960,27,39,HIGH,53,117,0.915599256,36732,26,1489500,2590
Saundatti-Yellamma,Karnataka,T.M.C,"38,155",,923,24,38,MEDIUM,87,112,0.831627865,35217,12,636502,2213
Pathanamthitta,Kerala,M,"38,009",,963,28,35,MEDIUM,55,134,0.194197024,36603,21,977479,2694
Wadi,Karnataka,T.M.C.,"37,988",,925,26,32,MEDIUM,63,115,0.752732573,35139,26,636502,2403
Rameshwaram,Tamil Nadu,T.P,"37,968",,917,24,37,HIGH,94,127,0.469445238,34817,16,4684707,2199
Gowribidanur,Karnataka,C.M.C,"37,947",,926,29,26,MEDIUM,94,198,0.357719215,35139,20,636502,2683
Tasgaon,Maharashtra,M.Cl,"37,945",,892,29,35,LOW,90,177,0.389510666,33847,11,4408916,2584
Sikandra Rao,Uttar Pradesh,M.B,"37,938",,874,26,27,LOW,73,149,0.106637455,33158,28,3104060,2270
Sihora,Madhya Pradesh,M,"37,870",,914,29,32,HIGH,79,173,0.998756995,34613,25,421365,2648
Tiruvuru,Andhra Pradesh,M,"37,802",,905,24,27,LOW,66,164,0.787915234,34211,27,237854,2170
Tiruvethipuram,Tamil Nadu,M,"37,802",,907,29,26,HIGH,92,119,0.395261083,34286,13,4684707,2628
